"PMID","Title","Authors","Journal","Year","Abstract","DOI","MeSH","Keywords","PublicationType"
37221419,"Effect of an 8-Week Tailored Physiotherapy Program on Sexual Health in Women with Scleroderma and Myositis: A Controlled Pilot Study.","Heřmánková B; Špiritović M; Oreská S; Štorkánová H; Mann H; Pavelka K; Šenolt L; Vencovský J; Bečvář R; Tomčík M","Rheumatology and therapy",2023,"INTRODUCTION: Systemic sclerosis (SSc) and idiopathic inflammatory myopathies (IIM) are very rare rheumatic diseases burdened by a high prevalence of sexual dysfunctions. However, no specific treatment has been proposed to date. To our knowledge, this is the first (pilot) study aiming to investigate the effect of an 8-week tailored physiotherapy program on the sexual health of women with SSc and IIM. METHODS: In total, 12 women with SSc and 4 women with IIM were enrolled in the study. Based on the patients' capability to participate in the program, they were divided into an intervention group (IG) (mean ± SD age 46.8 ± 8.6 years) and a control group (CG) (mean ± SD age 46.3 ± 8.5 years). IG underwent the 8-week program (1 h of supervised physiotherapy twice weekly), whereas CG received no physiotherapy. At weeks 0 and 8, all patients filled in questionnaires assessing sexual function (Female Sexual Function Index [FSFI], Brief Index of Sexual Functioning for Women [BISF-W]), sexual quality of life (Sexual Quality of Life-Female [SQoL-F]), functional ability (Health Assessment Questionnaire [HAQ]), quality of life (Medical Outcomes Short Form-36 [SF-36]), and depression (Beck's Depression Inventory-II [BDI-II]). The changes were analyzed with two-way ANOVA and Friedmann's test. RESULTS: Compared to the statistically significant deterioration in CG over weeks 0-8, we found statistically significant improvements in the total scores of FSFI and BISF-W, and some of their domains, functional status, and the physical component of quality of life. CONCLUSION: Our 8-week physiotherapy program not only prevented the natural course of progressive deterioration of functional ability but also led to a significant improvement in sexual function and quality of life in women with SSc and IIM. However, due to the lack of randomization and a relatively small sample size resulting from the strict inclusion criteria, further validation of our results is needed. TRIAL REGISTRATION NUMBER: ISRCTN91200867 (prospectively registered).","10.1007/s40744-023-00559-9","","Female sexual dysfunction; Idiopathic inflammatory myopathies; Pelvic floor exercise; Physiotherapy; Sexual dysfunction intervention; Systemic sclerosis","Journal Article"
25356310,"The relationship between sexual function and quality of sleep in caregiving mothers of sons with duchenne muscular dystrophy.","Nozoe KT; Hachul H; Hirotsu C; Polesel DN; Moreira GA; Tufik S; Andersen ML","Sexual medicine",2014,"INTRODUCTION: The task of the caregiver, especially a caregiving mother of a son with a chronic and fatal disease, may interfere with their quality of sleep, sexuality, and some hormone levels. AIM: The aim of this study was to evaluate the sexual function and the quality of sleep of caregiving mothers of sons with Duchenne muscular dystrophy (DMD). METHODS: We evaluated 20 caregiving mothers of sons with DMD and 20 caregiving mothers of sons without any neuromuscular or chronic disease. All of them voluntarily responded to the evaluating questionnaires about their sexuality and their quality of sleep, and gave blood samples to evaluate their hormonal levels. MAIN OUTCOME MEASURES: All mothers were evaluated using the questionnaire of Female Sexual Function Index (FSFI) and the Pittsburgh questionnaire (PSQI). The blood samples were tested to determine serum levels of testosterone, estradiol, follicle-stimulating hormone, luteinizing hormone, progesterone, adrenocorticotropic hormone, and cortisol. RESULTS: Caregiving mothers of sons with DMD had significantly lower scores in the FSFI questionnaire, suggesting a higher risk for sexual dysfunction. The PSQI demonstrated that these caregiving mothers present increased sleep latency, reduced sleep efficiency, daytime dysfunction, and poor sleep quality. Blood tests showed a rise in cortisol levels, which correlated with the compromised sexuality and quality of sleep. CONCLUSIONS: This study indicates that caregiving mothers of sons with DMD show major risk for sexual dysfunction and a reduction in their quality of sleep mediated in part by the hormonal changes related to stress. Nozoe KT, Hachul H, Hirotsu C, Polesel DN, Moreira GA, Tufik S, and Andersen ML. The relationship between sexual function and quality of sleep in caregiving mothers of sons with Duchenne muscular dystrophy. Sex Med 2014;2:133-140.","10.1002/sm2.29","","Caregivers; Duchenne Muscular Dystrophy; Sexuality; Sleep; Testosterone; Women","Journal Article"
19078586,"Duchenne muscular dystrophy and glycerol kinase deficiency: a rare contiguous gene syndrome.","Amato AA","Journal of clinical neuromuscular disease",2000,"Duchenne muscular dystrophy (DMD), glycerol kinase deficiency (GKD), and adrenal hypoplasia congenita (AHC) can occur together as part of a contiguous gene syndrome located at chromosome Xp21, GKD can manifest with recurrent episodes of vomiting, acidemia, mental retardation, or stupor. Involvement of the AHC gene can produce life-threatening adrenal insufficiency, sexual ambiguity, and electrolyte abnormalities. These associated conditions can make the diagnosis of DMD difficult. Neuromuscular specialists need to be aware of this contiguous gene syndrome because the potential life-threatening complications of GKD and AHC can be treated.","10.1097/00131402-200006000-00006","","","Journal Article"
8789451,"Deletions in Xq28 in two boys with myotubular myopathy and abnormal genital development define a new contiguous gene syndrome in a 430 kb region.","Hu LJ; Laporte J; Kress W; Kioschis P; Siebenhaar R; Poustka A; Fardeau M; Metzenberg A; Janssen EA; Thomas N; Mandel JL; Dahl N","Human molecular genetics",1996,"We have recently described a female patient with myotubular myopathy (MTM1) and an interstitial deletion at Xq28. Characterisation of the deletion allowed us to position the MTM1 gene to a 600 kb region between DXS304 and DXS497. In order to further restrict the region we screened for deletions in a set of 38 patients. We found two overlapping deletions in boys that in addition to MTM1 showed an unexpected abnormal genital development. As the latter phenotype is not found in the other non-deleted MTM1 patients, our observations are best explained by a contiguous gene syndrome. The deletions define a 430 kb region that contains the MTM1 gene and most likely a gene implicated in male sexual development. A high resolution physical map of this region is presented.","10.1093/hmg/5.1.139","Base Sequence; Chromosome Mapping; Cloning, Molecular; Gene Deletion; Genetic Linkage; Genetic Markers; Genitalia, Male; Humans; Infant, Newborn; Male; Molecular Sequence Data; Muscle Hypotonia; Polymorphism, Restriction Fragment Length; Sequence Tagged Sites; Sex Chromosome Aberrations; Syndrome; X Chromosome","","Journal Article; Research Support, Non-U.S. Gov't; Research Support, U.S. Gov't, Non-P.H.S."
22389795,"Patient preference assessment reveals disease aspects not covered by recommended outcomes in polymyositis and dermatomyositis.","Alemo Munters L; van Vollenhoven RF; Alexanderson H","ISRN rheumatology",2011,"Objectives. Polymyositis (PM) and dermatomyositis (DM) are characterized by impaired muscle function with a majority of patients developing sustained disability. The aim of this study was to evaluate the patient's individual priorities (patient preference) of disabilities most important to improve in PM/DM using the MacMaster Toronto Arthritis Patient Preference Disability Questionnaire (MACTAR), to correlate the MACTAR to myositis outcomes and to evaluate its test-retest reliability. Methods. Twenty-eight patients with PM/DM performed recommended outcomes as well as the MACTAR, which was performed twice with one week apart. Results. Sexual activity, walking, biking, social activities, and sleep constituted the predominating disabilities. Seventy-two and 33% of the identified disabilities were not covered by items of the Health Assessment Questionnaire and the Myositis Activities Profile. Correlations between the MACTAR and health-related quality of life measures were r(s) = -0.67-0.73, correlations with measures of activities of daily living and participation in society were r(s) = 0.51-0.60 with lower correlations for other outcomes. Intraclass correlation (ICC) and weighted Kappa (K(w)) coefficients were 0.83 and 0.68, respectively, for test-retest reliability of the MACTAR. Conclusions. The MACTAR interview had promising measurement properties and identified patient preference disabilities in PM/DM that were not covered by recommended outcomes.","10.5402/2011/463124","","","Journal Article"
38162906,"Non-motor symptoms in motor neuron disease: prevalence, assessment and impact.","Beswick E; Forbes D; Johnson M; Newton J; Dakin R; Glasmcher S; Abrahams S; Carson A; Chandran S; Pal S","Brain communications",2024,"People with motor neuron disease often experience non-motor symptoms that may occur secondary to, or distinct from, motor degeneration and that may significantly reduce quality of life, despite being under-recognized and evaluated in clinical practice. Non-motor symptoms explored in this population-based study include pain, fatigue, gastrointestinal issues, poor sleep, low mood, anxiety, problematic saliva, apathy, emotional lability, cognitive complaints and sexual dysfunction. People registered on the Clinical Audit Research and Evaluation of motor neuron disease platform, the Scottish Motor Neuron Disease Register, were invited to complete a questionnaire on non-motor symptoms and a self-reported Amyotrophic Lateral Sclerosis Functional Rating Scale. The questionnaire comprised a pre-defined list of 11 potential non-motor symptoms, with the opportunity to list additional symptoms. A total of 120 individuals participated in this cross-sectional study, a 39% response rate of those sent questionnaires (n = 311); 99% of participants recruited (n = 120) experienced at least one non-motor symptom, with 72% (n = 120) reporting five or more. The symptoms most often reported were pain and fatigue (reported by 76% of participants, respectively). The symptoms reported to be most impactful were gastrointestinal issues (reported as 'severe' by 54% of participants who experienced them), followed by pain and problematic saliva (51%, respectively). Lower Amyotrophic Lateral Sclerosis Functional Rating Scale scores, indicating more advanced disease and being a long survivor [diagnosed over 8 years ago; Black et al. (Genetic epidemiology of motor neuron disease-associated variants in the Scottish population. Neurobiol Aging. 2017;51:178.e11-178.e20.)], were significantly associated with reporting more symptoms; 73% of respondents were satisfied with the frequency that non-motor symptoms were discussed in clinical care; 80% of participants indicated they believe evaluation of non-motor symptom is important to include as outcomes in trials, independent of their personal experience of these symptoms. The preferred method of assessment was completing questionnaires, at home. The overwhelming majority of people with motor neuron disease report non-motor symptoms and these frequently co-occur. Pain, fatigue, gastrointestinal issues, sleep, mood, anxiety, problematic saliva, apathy, emotional lability, cognitive complaints and sexual dysfunction are prevalent. People with motor neuron disease who had worse physical function and those who were long survivors were more likely to report more symptoms. Where reported, these symptoms are frequent, impactful and a priority for people with motor neuron disease in clinical care and trial design.","10.1093/braincomms/fcad336","","impact; motor neuron disease; non-motor symptoms; prevalence; survey","Journal Article"
36339574,"Synergistic association of resveratrol and histone deacetylase inhibitors as treatment in amyotrophic lateral sclerosis.","Parrella E; Porrini V; Scambi I; Gennari MM; Gussago C; Bankole O; Benarese M; Mariotti R; Pizzi M","Frontiers in pharmacology",2022,"Amyotrophic lateral sclerosis (ALS) is a fatal neurodegenerative disease associated with motor neuron degeneration, progressive paralysis and finally death. Despite the research efforts, currently there is no cure for ALS. In recent years, multiple epigenetic mechanisms have been associated with neurodegenerative diseases. A pathological role for histone hypoacetylation and the abnormal NF-κB/RelA activation involving deacetylation of lysines, with the exclusion of lysine 310, has been established in ALS. Recent findings indicate that the pathological acetylation state of NF-κB/RelA and histone 3 (H3) occurring in the SOD1(G93A) murine model of ALS can be corrected by the synergistic combination of low doses of the AMP-activated kinase (AMPK)-sirtuin 1 pathway activator resveratrol and the histone deacetylase (HDAC) inhibitors MS-275 (entinostat) or valproate. The combination of the epigenetic drugs, by rescuing RelA and the H3 acetylation state, promotes a beneficial and sexually dimorphic effect on disease onset, survival and motor neurons degeneration. In this mini review, we discuss the potential of the epigenetic combination of resveratrol with HDAC inhibitors in the ALS treatment.","10.3389/fphar.2022.1017364","","NF-κB/RelA; amyotrophic lateral sclerosis (ALS); epigenetic drugs; histone acetylation; histone deacetylase (HDAC) inhibitors; resveratrol; sexual dimorphism","Journal Article; Review"
32707986,"Predictors of Depression in Caucasian Patients with Amyotrophic Lateral Sclerosis in Romania.","Anca M; Sebastian A; Cristina R; Zoltan B; Laura B; Adrian B; Septimiu V; Adina S; Smaranda M","Brain sciences",2020,"Depression remains an underdiagnosed comorbidity which significantly decreases the quality of life in amyotrophic lateral sclerosis (ALS) patients. We aimed to investigate the prevalence of depression in a cohort of ALS patients with more than one year of disease evolution. A total of 50 ALS patients were evaluated with the Beck Depression Inventory II (BDI-II) and cognition, using the Mini-Cog Standardized Instrument (MCSI). The clinical disability was evaluated using the ALS Functional Rating Scale (ALSFRS). The prevalence of depression was 42.8%. A lower BDI-II score was significantly correlated with a higher education level, the spouse as a caregiver, spiritual devotion, and employment status (p < 0.05). A multiple linear regression analysis between the BDI-II score as the dependent variable and various independent variables such as spirituality, caregiver status, educational level, and occupational status revealed that only the type of caregiver (spouse or parent/child) significantly affected the BDI-II total score (p = 0.006). The functional disability significantly correlated with loss of appetite and loss of libido (p < 0.001). A high education, spiritual devotion, high ALSFRS, and the presence of the spouse as the caregiver were associated with the absence of depression.","10.3390/brainsci10080470","","amyotrophic lateral sclerosis; autonomic symptoms; caregiver; depression; physical disability; spirituality","Journal Article"
32377479,"Human T-cell Lymphotropic Virus Type I Associated with Amyotrophic Lateral Sclerosis Syndrome: Immunopathological Aspects and Treatment Options.","Gonzalez Trujillo F; Parra Cortes K; Álvarez Pareja Y; Onate J","Cureus",2020,"Human T-cell lymphotropic virus type I (HTLV-I) is a retrovirus related to infectious myelopathies, neoplasms, lymphomas, leukemias, and amyotrophic lateral sclerosis (ALS). It is acquired through sexual transmission, transfusion of blood products, and breastfeeding. The increased expression of human endogenous retrovirus K (HERV-K) in the brain tissue of patients with ALS has been demonstrated, a finding that supports the relationship between the virus and this disease. Therapeutic options include supportive measures and symptomatic treatment with anti-inflammatory medications including steroids, cyclosporines, pentoxifylline, danazol, interferons, and vitamin C. New management proposals are being implemented with valproic acid that acts to facilitate the recognition of the virus by the immune system and with zidovudine antivirals focused on reducing viral load. The purpose of this paper is to describe a clinical case that exhibits clinical signs and evidence of motor neuron compromise as described in electrophysiology studies along with positive laboratory tests for the HTLV-I virus.","10.7759/cureus.7531","","amyotrophic lateral sclerosis; htlv-1; treatments; tsp/ham; viral transmission","Case Reports; Journal Article"
30069287,"Allgrove syndrome and motor neuron disease.","de Freitas MRG; Orsini M; Araújo APQC; João Abraão L; Barbosa GM; França MC; Correia L; Bastos VH; Trajano E; da Sant'Anna M","Neurology international",2018,"Allgrove or triple A syndrome (AS or AAA) is a rare autosomal recessive syndrome with variable phenotype due to mutations in AAAS gene which encodes a protein called ALADIN. Generally, it's characterized by of adrenal insufficiency in consequence of adrenocorticotropic hormone (ACTH) resistance, besides of achalasia, and alacrimia. Neurologic features are varied and have been the subject of several case reports and reviews. A few cases of Allgrove syndrome with motor neuron disease have been already described. A 25-year-old white man, at the age of four, presented slowly progressive distal amyotrophy and weakness, autonomic dysfunction, dysphagia and lack of tears. He suffered later of orthostatic hypotension and erectile dysfunction. He presented distal amytrophy in four limbs, tongue myofasiculations, alacrimia, hoarseness and dysphagia due to achalasia. The ENMG showed generalized denervation with normal conduction velocities. Genetic testing revealed 2 known pathogenic variants in the AAAS gene (c.938T>C and c.1144_1147delTCTG). Our case presented a distal spinal amyotrophy with slow evolution and symptoms and signs of AS with a mutation in AAAS gen. Some cases of motor neuron disease, as ours, may be due to AAS. Early diagnosis is extremely important for symptomatic treatment.","10.4081/ni.2018.7436","","AAAS gene; Allgrove syndrome; motor neuron disease","Journal Article"
