"PMID","Title","Authors","Journal","Year","Abstract","DOI","MeSH","Keywords","PublicationType"
"39795906","An Overview of Zika Virus and Zika Virus Induced Neuropathies.","Wahaab A; Mustafa BE; Hameed M; Batool H; Tran Nguyen Minh H; Tawaab A; Shoaib A; Wei J; Rasgon JL","International journal of molecular sciences","2024","Flaviviruses pose a major public health concern across the globe. Among them, Zika virus (ZIKV) is an emerging and reemerging arthropod-borne flavivirus that has become a major international public health problem following multiple large outbreaks over the past two decades. The majority of infections caused by ZIKV exhibit mild symptoms. However, the virus has been found to be associated with a variety of congenital neural abnormalities, including microcephaly in children and Guillain-Barre syndrome in adults. The exact prediction of the potential of ZIKV transmission is still enigmatic and underlines the significance of routine detection of the virus in suspected areas. ZIKV transmission from mother to fetus (including fetal abnormalities), viral presence in immune-privileged areas, and sexual transmission demonstrate the challenges in understanding the factors governing viral persistence and pathogenesis. This review illustrates the transmission patterns, epidemiology, control strategies (through vaccines, antivirals, and vectors), oncolytic aspects, molecular insights into neuro-immunopathogenesis, and other neuropathies caused by ZIKV. Additionally, we summarize in vivo and in vitro models that could provide an important platform to study ZIKV pathogenesis and the underlying governing cellular and molecular mechanisms.","10.3390/ijms26010047","Humans; Zika Virus Infection; Zika Virus; Animals; Guillain-Barre Syndrome","animal and cell models; antivirals; mosquito/vector control; neuropathies; neuropathogenesis; neurotropic flaviviruses; oncolytic; prevention; transmission; treatment; vaccines; zika virus","Journal Article; Review"
"39692000","""It doesn't get more normal than that!"" - challenges with sexuality experienced by people with neuromuscular diseases and their needs for rehabilitation knowledge and guidance on sexual life.","Møller JPK; Hansen KW; Handberg C","Disability and rehabilitation","2025","PURPOSE: To investigate challenges with sexuality experienced by people with neuromuscular diseases and their needs for knowledge and guidance on sexual life to target future rehabilitation services. MATERIALS AND METHODS: 11 semi-structured individual interviews with 10 women and one man with neuromuscular diseases. The methodology was Interpretive Description, using the Crip Theory as the theoretical lens to guide the analysis. RESULTS: The sexual expression of people with neuromuscular diseases was affected by three overall themes. Knowledge and approach in society was characterized by a dichotomous relation of being disabled or nondisabled, causing the nondisabled to consider people with neuromuscular diseases to be asexual even though sexual notions were not affected by the neuromuscular disease. Perceptions and notions represented discovering and unfolding sexuality and how a limited representation of people with disabilities in the public discourse made it difficult to find inspirational role models. Self-confidence and autonomy demonstrated how the personal assistants or partners play significant roles to ensure autonomy of people with neuromuscular diseases. CONCLUSION: The challenges related to how sexuality of people with neuromuscular diseses was affected by the lack of knowledge and general approach in society which was either silence or misconceived considerations. The healthcare professionals' reluctance toward addressing sexuality should be considered when planning rehabilitation services. To enhance the knowledge and strengthen rehabilitation counseling on sexuality for people with neuromuscular disease (NMD) it is important to provide:Knowledge from sexual advisors who can contribute with education of healthcare professionals for them to initiate conversations and counseling regarding sexual topics, and to expand the representation of disability in the sexuality debate.Knowledge and counseling, from health professionals on sexuality when living with a NMD that should be provided from an early stage of the disease and for parents of young people with NMD to decrease stigmatization and reduce taboo.Counseling and guidance from sexual advisors on how to practically perform sex with an impaired function and on attention on hiring personal assistants who can be trusted to support during intimate tasks.Professionally structured peer support for young and adult people with NMD to understand their sexual feelings and bodies through role models and shared experiences to enhance the feeling of belonging and normalcy.Information on possible exercises in physiotherapy for hips, legs, jaws which may promote flexibility and mobility.","10.1080/09638288.2024.2440635","Humans; Neuromuscular Diseases; Male; Female; Middle Aged; Adult; Sexuality; Persons with Disabilities; Interviews as Topic; Health Knowledge, Attitudes, Practice; Qualitative Research; Sexual Behavior; Aged; Self Concept","Neuromuscular disease; crip theory; healthcare professionals; interpretive description; qualitative research; rehabilitation; sexuality; stigma","Journal Article"
"39625572","Pelvic floor muscle pain is associated with higher symptom scores and bladder pain perception in women with interstitial cystitis and bladder pain syndrome.","Yu WR; Jhang JF; Jiang YH; Kuo HC","World journal of urology","2024","INTRODUCTION: Interstitial cystitis/bladder pain syndrome (IC/BPS) is a heterogeneous, multifactorial disease with a high prevalence of somatic symptoms. A high percentage of women with IC/BPS also experience pelvic floor muscle pain (PFMP). This study investigated he association between PFMP and clinical characteristics in patients with IC/BPS. METHOD: This study evaluated the extent and severity of PFMP in women with IC and BPS. Demographics, sexual condition, IC symptom index (ICSI), IC problem index (ICPI), and Beck anxiety inventory and depression inventory were assessed. The objective assessment items included bladder wall thickness in computed tomography, urodynamic parameters, maximum bladder capacity (MBC) and glomerulation grade after cystoscopic hydrodistention, urine inflammatory proteins, and oxidative stress biomarkers. RESULT: A total of 9 women with IC and 83 with BPS were enrolled. A total of 85.8% of patients had PFMP. Patients with PFMP had higher rates of dyspareunia (p = 0.005), lack of sexual activity (p < 0.001), more comorbidities (p = 0.039), pain-predominant IC/BPS phenotypes (p = 0.04), higher IC symptoms (ICSI, p = 0.003; ICPI, p < 0.001), and higher levels of urinary biomarker MIP-1β (p = 0.004) than patients without PFMP. However, no significant correlation was found between PFMP and the bladder wall thickness, urodynamic parameters, MBC, or glomerulation grade. CONCLUSION: PFMP is present in a high percentage of patients with IC and BPS and associated with higher IC/BPS symptom score and dyspareunia, but not with MBC or glomerulation grade in patients with BPS.","10.1007/s00345-024-05366-7","Humans; Cystitis, Interstitial; Female; Middle Aged; Adult; Pain Perception; Severity of Illness Index; Urinary Bladder; Myalgia; Symptom Assessment; Pelvic Pain; Pelvic Floor","Bladder pain syndrome; Dyspareunia; Interstitial cystitis; Pelvic floor muscle; Pelvic floor muscle pain","Journal Article"
"39498736","Midline sacral meningeal cysts: Neurophysiology abnormalities and their correlation with pelvic sensory and visceral symptoms.","Cabrilo I; Hentzen C; Malladi P; Simeoni S; Amarenco G; Zaidman N; Pakzad M; Shah S; Casey AT; Panicker JN","European journal of neurology","2025","BACKGROUND AND PURPOSE: Midline sacral meningeal cysts (MSMCs) are cerebrospinal fluid-filled dural diverticula. Although widely considered asymptomatic, cases involving voiding difficulties or pain have been reported. The aims of this study were, firstly, to describe the clinical presentation of patients with symptomatic MSMCs, secondly, to assess the impact of the cyst on nerve root function, and, thirdly, to assess whether nerve root injury is more frequent in patients with MSMCs than those with Tarlov cysts (TCs). METHODS: Consecutive patients with MSMCs presenting with at least one pelvic symptom participated in a cross-sectional review of symptoms using validated questionnaires. Findings of pelvic neurophysiology (pudendal sensory evoked potentials, sacral dermatomal sensory evoked potentials, external anal sphincter electromyography) and urodynamic testing were collected retrospectively. The relationship between neurophysiology, magnetic resonance imaging findings and patients' symptoms were assessed using Fisher's and analysis of variance tests. Neurophysiology findings were compared with those of TC patients. RESULTS: Eleven female patients were included (mean age 42.3 ± 12.4 years). All reported urinary symptoms. Back pain (91%), radicular leg pain (91%), bowel symptoms (45%) and sexual dysfunction (75%) were also frequently reported. Nine patients (82%) had abnormal findings on neurophysiology; three patients (27%) had one abnormal test, and six (55%) had two abnormal tests. Patients with MSMCs were more likely to have at least two abnormal neurophysiology test results compared to TC patients (55% vs. 18%, respectively; p = 0.018). CONCLUSION: Our results indicate that MSMCs are indeed associated with injury to the sacral somatic innervation when symptomatic. MSMCs are more likely to cause sacral nerve root damage compared to TCs.","10.1111/ene.16530","Humans; Female; Adult; Middle Aged; Cross-Sectional Studies; Tarlov Cysts; Sacrum; Retrospective Studies; Magnetic Resonance Imaging; Evoked Potentials, Somatosensory","lower urinary tract symptoms; meningeal cyst; pelvic neurophysiology; sacrum; spinal nerve roots","Journal Article"
"39497595","Malignant peripheral nerve sheath tumor of the cervix in an adolescent with neurofibromatosis type 1: A case report and review of literature.","Furuzono N; Togami S; Kitazono I; Nishikawa T; Tanimoto A; Kobayashi H","The journal of obstetrics and gynaecology research","2024","Malignant peripheral nerve sheath tumors (MPNSTs) of the cervix are rare, particularly in patients with neurofibromatosis type 1 (NF1). This report describes a cervical MPNST in an 18-year-old patient with no history of sexual activity, abnormal vaginal discharge, and prolonged menstruation. She had more than six café-au-lait spots on her body since birth and was diagnosed with NF1 at 2 years of age. Positron emission tomography-computed tomography revealed a large pelvic mass and lung and bone metastases. Biopsy confirmed MPNST. Immunohistochemical staining showed diffuse positivity for CD10, approximately 30% positivity for cyclin D1, partial positivity for α-SMA, desmin, and MyoD1, and negativity for myogenin, S-100, and SOX-10. A cancer gene panel identified several genetic abnormalities, but none were actionable mutations. Despite systemic chemotherapy, the tumor progressed rapidly, and the patient died 8 weeks post-admission. Early diagnosis of MPNST is crucial. In patients with NF1, even mild symptoms can indicate MPNST.","10.1111/jog.16139","Humans; Female; Neurofibromatosis 1; Adolescent; Uterine Cervical Neoplasms; Nerve Sheath Neoplasms","malignant peripheral nerve sheath tumor; neurofibromatosis type 1; uterine cervix","Case Reports; Review; Journal Article"
"39419339","Mechanism of denervation muscle atrophy mediated by Ach/p38/MAPK pathway in rats with erectile dysfunction caused by nerve injury.","Jie HW; Jie W; Jianxiong M; Xin Z; Runnan X; Yijia F; Bodong L; Jie H","Experimental cell research","2024","BACKGROUND: Peripheral nerve injury can result in penile cavernosal denervation muscle atrophy, a primary factor in nerve injury erectile dysfunction (NED). While acetylcholine (Ach) is integral to erectile function, its role and mechanisms in NED need further exploration. OBJECTIVE: To investigate the inhibition of CCMSCs Apoptosis and Protein Degradation Pathway by Ach in NED rat model. METHODS: We investigated changes in Ach secretion and receptor expression in an NED rat model, followed by the evaluation of apoptosis and ubiquitin proteasome activation in hypoxic Cavernous smooth muscle cells (CCMSCs) and their co-cultures with Schwann cells (SWCs), under Ach influence. Further, key pathways in NED were identified via high-throughput sequencing, focusing on the p38/MAPK signaling pathway. We examined gene alterations related to this pathway using hypoxic cell models and employed p38 inhibitors to verify protein changes. Our findings in vitro were then confirmed in the NED rat model. RESULTS: Nerve injury led to reduced Ach receptors and associated gene expression. Experimentally, Ach was shown to counteract CCMSC apoptosis and muscle protein degradation via the p38/MAPK pathway. Inhibition of the Ach degradation pathway demonstrated a capacity to slow NED progression in vivo. DISCUSSION AND CONCLUSION: Activation of Ach receptors may decelerate denervation-induced cavernosal muscle atrophy, suggesting a potential therapeutic approach for NED. This study highlights the crucial role of the Ach/p38/MAPK axis in the pathophysiology of penis smooth muscle atrophy and its broader implications in managing NED and male erectile dysfunction.","10.1016/j.yexcr.2024.114283","Animals; Male; Erectile Dysfunction; Rats; p38 Mitogen-Activated Protein Kinases; Muscular Atrophy; Rats, Sprague-Dawley; Acetylcholine; Apoptosis; Penis; Peripheral Nerve Injuries; MAP Kinase Signaling System; Denervation; Myocytes, Smooth Muscle; Signal Transduction; Schwann Cells","Acetylcholine; Apoptosis; Muscular atrophy; Neurotraumatic erectile dysfunction; p38/MAPK","Journal Article"
"39293008","Sexual Intimacy in Persons with Amyotrophic Lateral Sclerosis and their Partners: A Pilot Study.","Ramirez V; Kittrell P; Jackson C; Clegg A; Allegretti A","Journal of allied health","2024","OBJECTIVE: The objective of this study was to describe concerns experienced among persons with amyotrophic lateral sclerosis (PALS) and their partners regarding sexual intimacy, as well as preferences regarding discussion of the topic with healthcare providers. METHODS: A total of 27 survey responses including 13 PALS and 14 partners were received. Surveys included both quantitative and qualitative data addressing the importance of sexual intimacy to quality of life, assistance required to participate in sexual intimacy, concerns for safety, and preferred timing and method of discussing/receiving information from healthcare professionals. RESULTS: 100% of respondents stated they had never been asked about sexual intimacy by any healthcare provider. 92% of participants agreed ALS had affected their ability to express sexual intimacy. Participants discussed loss of intimacy as due to muscle weakness, respiratory concerns, and role change among other contributors to the overall experienced change in expression of sexual intimacy. With regards to their preferred method of receiving/discussing information on the effect of ALS on sexual intimacy, 48% of participants preferred use of an online video series, 44% chose a pamphlet, 24% chose a one-on-one discussion with a healthcare provider, and 12% chose a private conversation with their partner and healthcare provider. CONCLUSIONS: The findings greatly illustrate the difficulties and concerns experienced with sexual intimacy among PALS and their partners as well as the preferred methods for receiving information on the topic.",NA,"Humans; Amyotrophic Lateral Sclerosis; Pilot Projects; Male; Female; Middle Aged; Sexual Partners; Aged; Sexual Behavior; Adult; Quality of Life","","Journal Article"
"39280316","A potential treatment for erectile dysfunction: Effect of platelet-rich plasma administration on axon and collagen regeneration in cavernous nerve injury.","Ismy J; Khalilullah SA; Maulana R; Hidayatullah F","Narra J","2024","Recent studies highlighted the role of platelet-rich plasma (PRP) in progenitor cell homing, migration, and nerve cell regeneration while also inhibiting fibrosis and apoptosis in cavernous nerve injury (CNI). The aim of this study was to investigate the effect of PRP administration on axon and collagen regeneration in CNI. A true experimental study using a post-test-only control group design was conducted. Twenty-five male Wistar rats (Rattus norvegicus), weighing 200-300 grams, were divided into five groups: two control groups (sham procedure and negative control), and three experimental groups receiving local PRP, intraperitoneal PRP, and a combination of local and intraperitoneal PRP. The cavernous nerve was injured with a hemostasis clamp for one minute before 200 µL of 200 PRP was injected locally, intraperitoneally, or both, depending on the group. After four weeks, the rats were euthanized, tissue segments (2 mm) from each cavernous nerve and mid-penis were collected and analyzed for collagen density, axon diameter, and number of myelinated axons. Our study found that collagen growth was slower in CNI group without PRP (sham procedure) compared to all PRP groups (local, intraperitoneal, and combination). The intraperitoneal PRP group had the highest collagen density at 5.62 µm; however, no significant difference was observed in collagen density among all groups (p=0.056). Similar axon diameter was found across the groups, with no statistically significant difference observed (p=0.856). In the number of myelinated axons, a significant difference was found among all groups with significantly more axons in local PRP and combined local and intraperitoneal PRP groups compared to others (p=0.026). In conclusion, PRP administration improved the number of myelinated axons in CNI, suggesting PRP role in CNI regeneration and the potential for an innovative approach to treating erectile dysfunction associated with CNI.","10.52225/narra.v4i2.880","Animals; Male; Platelet-Rich Plasma; Rats, Wistar; Collagen; Rats; Nerve Regeneration; Axons; Penis; Erectile Dysfunction; Disease Models, Animal; Peripheral Nerve Injuries","Platelet-rich plasma; axon; cavernous nerve injury; collagen; erectile dysfunction","Journal Article"
"39265373","Magnetic mesoporous silica nanoparticles loaded with peptides for the targeted repair of cavernous nerve injury underlying erectile dysfunction.","Liang X; Wang Z; Wang S; Ruan F; Zhang Y; Shao D; Liu X; Chen F; Shi X","Biomaterials","2025","Erectile dysfunction (ED) is a common male sexual disorder characterized by repeated or persistent difficulty in achieving or maintaining an erection. It can arise from various factors, with cavernous nerve injury (CNI) from radical prostatectomy being a predominant cause of iatrogenic ED, posing significant clinical concerns. The complexity of cavernous tissue damage in CNI-induced ED (CNIED) often results in poor efficacy and resistance to conventional vascular ED treatments. To address CNI-induced ED, this study developed a system of magnetic mesoporous silica nanoparticles (MSNs) loaded with peptides for targeted treatment. Core-shell Fe3O4-coated MSNs were used as drug carriers and loaded with RADA16-I/RAD-RGI peptides (PD) to create a neurotrophic microenvironment to treat peripheral nerve defects. Furthermore, the neuro-targeting peptide HLNILSTLWKYR (PT) was grafted onto MSNs. The in vivo therapeutic effect was evaluated using a rat bilateral cavernous nerve injury (BCNI) model. The results showed that the neuro-targeted Fe3O4@SiO2-PT-PD nanoparticles significantly promoted regeneration of the cavernous nerve and restored erectile function. This promising strategy offers significant clinical potential for treating CNI-induced ED. Nanomedicine technology has the potential to not only improve treatment outcomes but also reduce side effects in healthy cells, paving the way for more accurate targeted repair of cavernous nerve damage.","10.1016/j.biomaterials.2024.122811","Male; Animals; Erectile Dysfunction; Silicon Dioxide; Rats, Sprague-Dawley; Peptides; Penis; Porosity; Rats; Nerve Regeneration; Magnetite Nanoparticles; Nanoparticles; Peripheral Nerve Injuries","Cavernous nerve injury; Erectile dysfunction; Magnetic mesoporous nanoparticles; Nerve regeneration","Journal Article"
"39257326","Manual therapy plus sexual advice compared with manual therapy or exercise therapy alone for lumbar radiculopathy: a randomized controlled trial.","Danazumi MS; Adamu IA; Usman MH; Yakasai AM","Journal of osteopathic medicine","2025","CONTEXT: The biopsychosocial approach to managing low back pain (LBP) has the potential to improve the quality of care for patients. However, LBP trials that have utilized the biopsychosocial approach to treatment have largely neglected sexual activity, which is an important social component of individuals with LBP. OBJECTIVES: The objectives of the study are to determine the effects of manual therapy plus sexual advice (MT+SA) compared with manual therapy (MT) or exercise therapy (ET) alone in the management of individuals with lumbar disc herniation with radiculopathy (DHR) and to determine the best sexual positions for these individuals. METHODS: This was a single-blind randomized controlled trial. Fifty-four participants diagnosed as having chronic DHR (>3 months) were randomly allocated into three groups with 18 participants each in the MT+SA, MT and ET groups. The participants in the MT+SA group received manual therapy (including Dowling's progressive inhibition of neuromuscular structures and Mulligan's spinal mobilization with leg movement) plus sexual advice, those in the MT group received manual therapy only and those in the ET group received exercise therapy only. Each group received treatment for 12 weeks and then followed up for additional 40 weeks. The primary outcomes were pain, activity limitation, sexual disability and kinesiophobia at 12 weeks post-randomization. RESULTS: The MT+SA group improved significantly better than the MT or ET group in all outcomes (except for nerve function), and at all timelines (6, 12, 26, and 52 weeks post-randomization). These improvements were also clinically meaningful for back pain, leg pain, medication intake, and functional mobility at 6 and 12 weeks post-randomization and for sexual disability, activity limitation, pain catastrophizing, and kinesiophobia at 6, 12, 26, and 52 weeks post-randomization (p<0.05). On the other hand, many preferred sexual positions for individuals with DHR emerged, with ""side-lying"" being the most practiced sexual position and ""standing"" being the least practiced sexual position by females. While ""lying supine"" was the most practiced sexual position and ""sitting on a chair"" was the least practiced sexual position by males. CONCLUSIONS: This study found that individuals with DHR demonstrated better improvements in all outcomes when treated with MT+SA than when treated with MT or ET alone. These improvements were also clinically meaningful for sexual disability, activity limitation, pain catastrophizing, and kinesiophobia at long-term follow-up. There is also no one-size-fits-all to sexual positioning for individuals with DHR.","10.1515/jom-2023-0075","Humans; Female; Radiculopathy; Male; Exercise Therapy; Single-Blind Method; Musculoskeletal Manipulations; Adult; Middle Aged; Lumbar Vertebrae; Treatment Outcome; Low Back Pain; Sexual Behavior; Intervertebral Disc Displacement; Combined Modality Therapy","lumbar radiculopathy; manual therapy; randomized controlled trial; sexual advice","Journal Article; Randomized Controlled Trial; Comparative Study"
