"PMID","Title","Authors","Journal","Year","Abstract","DOI","MeSH","Keywords","PublicationType"
39636620,"Real-world safety evaluation of atorvastatin: insights from the US FDA adverse event reporting system (FAERS).","Wan H; Xu X; Yi D; Shuai K","Expert opinion on drug safety",2025,"OBJECTIVE: Given the extensive use of atorvastatin in managing cardiovascular conditions and the surge in reported adverse drug reactions (ADRs), this study leverages the FAERS database to comprehensively evaluate atorvastatin-associated adverse events, thereby enhancing our understanding of its safety profile in real-world settings. METHODS: A retrospective observational pharmacovigilance study was conducted using FAERS data from Q1 2004 to Q1 2024. Four algorithms - ROR, PRR, BCPNN, and EBGM - were employed to detect signals of adverse events (AEs) linked to atorvastatin through disproportionality analysis. RESULTS: Out of 17,627,340 reports in the FAERS database 81,955 involved atorvastatin. Consistently identified AEs across all four algorithms included musculoskeletal and connective tissue disorders, metabolic and nutritional disorders, and hepatobiliary disorders at the system organ class (SOC) level. A total of 4,575 significant disproportionate preferred terms (PTs) were observed across 23 SOCs, with key PTs being 'immune-mediated myositis,' 'type 2 diabetes mellitus,' 'necrotizing myositis,' 'autoimmune myositis,' and 'myopathy.' Additionally, unexpected AEs such as erectile dysfunction were identified. The median onset time for these AEs was 60 days, with most occurring within the first 30 days of treatment. CONCLUSION: This study identified both expected and unexpected AEs associated with atorvastatin, highlighting the need for continued surveillance and providing valuable insights for clinicians to optimize atorvastatin use and address safety concerns.","10.1080/14740338.2024.2424438","Adverse Drug Reaction Reporting Systems; Humans; Atorvastatin; Pharmacovigilance; Retrospective Studies; United States; United States Food and Drug Administration; Hydroxymethylglutaryl-CoA Reductase Inhibitors; Male; Female; Databases, Factual; Middle Aged; Adult; Aged; Algorithms; Young Adult; Adolescent; Drug-Related Side Effects and Adverse Reactions","Atorvastatin; FAERS; Statins; adverse event; pharmacovigilance","Journal Article; Observational Study"
39062280,"Van Wyk-Grumbach Syndrome and Gonadectomy.","Arellano-Llamas AA; Hernandez-Caballero A; Delgado-Mendoza E; Catalan-Ruiz MA","Children (Basel, Switzerland)",2024,"Van Wyk-Grumbach syndrome (VWGS) refers to the development of peripheral precocious puberty, long-standing hypothyroidism, and gonadal masses; when not diagnosed, an unnecessary gonadectomy may be performed. Herein, we present a case of a 10-year-old girl with Down's syndrome, short stature, and vitiligo who presented to our hospital with vaginal bleeding and a palpable pelvic mass. Upon ultrasound and topographical examination, bilateral ovarian masses with negative tumor markers were detected. After bilateral gonadectomy, endocrine studies revealed profound hypothyroidism and peripheral puberty that led to the VWGS syndrome diagnosis (TSH 367.3 mUI/mL, isolated menstruation, indetectable LH, and elevated estradiol). Levothyroxine treatment improved obesity and short stature, and sexual hormone replacement began at 13 years of age. The literature on Van Wyk-Grumbach syndrome shows that it presents most often in women, and classic hypothyroidism symptoms always precede the diagnosis. Approximately 11% of patients have Down's syndrome, sometimes tumor markers are elevated, and some develop severe symptoms (myopathy, short stature, mental delay, ascites, pericardial effusion, Cullen's sign, pituitary hyperplasia, and severe anemia) that respond to levothyroxine treatment. Conclusions: Children with peripheral precocious puberty and gonadal masses must be studied for hypothyroidism before any radical decision is made.","10.3390/children11070831","","Van Wyk–Grumbach syndrome; gonadectomy; ovarian cysts; precocious; puberty","Case Reports; Journal Article"
36966027,"Review: Current challenges in poultry nutrition, health, and welfare.","Korver DR","Animal : an international journal of animal bioscience",2023,"The poultry industry has benefited greatly from advances in genetics, nutrition, housing and management strategies. Geneticists have made welfare and health traits important components of selection programs, and in general, modern, high-producing poultry are healthier than 30 years ago. However, increased productivity means that the birds are closer to their physiological limits, and nutrition, environment and management have become increasingly important. The move away from in-feed antibiotic growth promotors has resulted in challenges in maintaining gut health and consequently, bird performance. However, as the industry adapts to production without the use of antibiotic growth promotors, long-term benefits may be realized due to a reduction in antimicrobial resistance. Intensive selection for meat yield and efficiency are associated with an increased risk of muscle myopathies that affect bird health and meat quality. As genetic selection increased broiler production traits, it became necessary to restrict parent stock nutrient intake in order to prevent excessive muscle and fat deposition, reduce metabolic disease, and maintain ovarian control. With continued selection for broiler production traits, the degree of restriction implemented has become a welfare issue. Additionally, recent research suggests that highly efficient broiler lines may have limited fat deposition and therefore energy reserves to support sexual maturation and egg production, especially if typical broiler breeder BW targets are maintained. A re-examination of broiler breeder feeding programs is necessary to maintain productivity and welfare. Modern laying hens are capable of laying cycles in excess of 100 weeks of age. This has reduced the use of stress-inducing forced molting programs and reduces the total number of hens needed to meet the demand for egg production. The important role of the skeletal system in eggshell deposition demands that skeletal development during rearing be carefully managed to avoid shell and skeletal problems at the end of the production cycle. As the production potential of modern poultry continues to increase through genetic and genomic selection, even greater care must be paid in order to maintain bird health and welfare. The poultry industry has successfully faced many challenges in the past and is likely to overcome the existing challenges as well.","10.1016/j.animal.2023.100755","Animals; Female; Poultry; Chickens; Ovum; Nutritional Status; Eating","Broiler chicken; Challenges and opportunities; Laying hen; Metabolic limits; Production efficiency","Journal Article; Review"
34026376,"Human Immunodeficiency Virus (HIV) Masquerading as Myopathy and Rhabdomyolysis.","Ranabhat K; Deliwala S; Hussain M; Haykal T; Bachuwa G","Cureus",2021,"Human immunodeficiency virus (HIV) characteristically presents as a mononucleosis-like prodrome; rhabdomyolysis as a sole manifestation remains a rare finding from infection to seroconversion. A young male with a vague sexual history presented with myopathy progressing rapidly to rhabdomyolysis and renal failure. Acute HIV rarely presents with classic features, and rhabdomyolysis seems to manifest more in younger patients. Our case also demonstrates the importance of keeping a strong suspicion for HIV in the right setting despite false-negative results in the pre-seroconversion phase. The variability in HIV presentation and stigma of sexual history taking represents a diagnostic challenge. The astute clinician must be privy to these peculiarities to formulate a prompt diagnosis.","10.7759/cureus.14559","","aids; creatinine kinase; hiv; myopathy; rhabdomyolysis","Case Reports; Journal Article"
33288130,"Treating pediatric colorectal patients in low and middle income settings: Creative adaptation to the resources available.","Brisighelli G; Etwire V; Lawal T; Arnold M; Westgarth-Taylor C","Seminars in pediatric surgery",2020,"Colorectal disease profiles for children in low- and middle-income settings (LMIC) are characterized by late presentation, increased complications and limited follow-up in many cases. There is a high prevalence of infectious conditions causing secondary colorectal disease such as Mycobacterium Tuberculosis(TB), Human Immunodeficiency Virus(HIV) and Human Papilloma Virus(HPV), which also impact the management of other primary colorectal conditions, such as wound-healing and intestinal anastomosis. Perineal trauma from sexual assault, motor vehicle or pedestrian accidents, burns, and traditional enemas are commonly encountered and may require adaptation of principles used in treatment of congenital anomalies such as Hirschsprung's disease and Anorectal Malformations for reconstruction. Endemic conditions in certain LMIC require further research to delineate underlying causes and optimize management, such as ""African"" degenerative visceral leiomyopathy, congenital pouch colon in the Indian subcontinent, and congenital H-type rectal fistulae prevalent in Asia. These unique disease profiles require creative adaptations of resources within poor healthcare infrastructure settings. These special challenges and pitfalls in colorectal care and complications of adverse socioeconomic conditions, are discussed.","10.1016/j.sempedsurg.2020.150989","Adolescent; Aftercare; Child; Child, Preschool; Colonic Diseases; Delayed Diagnosis; Developing Countries; Digestive System Surgical Procedures; Humans; Infant; Infant, Newborn; Perioperative Care; Rectal Diseases; Treatment Outcome","Anogenital condylomata; Anorectal malformations; Colorectal; Congenital pouch colon; HIV-associated recto-vaginal fistulae; Hirschsprung's disease; Hollow visceral myopathy; LMIC; Perineal trauma; Stoma","Journal Article; Review"
32153624,"46,XX Testicular Disorders of Sex Development With DMD Gene Mutation: First Case Report Identified Prenatally by Integrated Analyses in China.","Deng J; Zhang H; Li C; Huang H; Liu S; Yang H; Xie K; Wang Q; Lei D; Wu J","Frontiers in genetics",2019,"The present study describes the first prenatally diagnosed 46,XX testicular disorders of sex development (46,XX testicular DSD) case with DMD gene mutation by integrated analyses in a Chinese pedigree. Chromosome karyotype G-banding analysis of the proband showed a 46,XX karyotype, but B-ultrasound analysis demonstrated the existence of scrotum, testis and penis which inferred a male sexual differentiation. Aneuploidy and copy number variation (CNV) detection by low-coverage single-end whole genome sequencing (WGS) revealed a de novo SRY (sex-determining region Y) gene positive fragment of 224.34 kb length (chrY:2,649,472-2,873,810) which explained the gonadal/genital-chromosomal inconsistency in the proband. Additionally, targeted-region-capture-based DMD gene sequencing and Sanger verification confirmed a widely reported pathogenic heterozygous nonsense mutation (NM_004006, c.9100C>T, p.Arg3034Ter) in the dystrophin-coding gene named DMD. This study emphasizes that integrated analyses of the imaging results, cytogenetics, and molecular features can play an important role in prenatal diagnosis. It requires the combination of more detection techniques with higher resolution than karyotyping to determine the genetic and biological sex of fetuses in prenatal diagnosis. To conclusively determine both the biological and genetic sex of the fetus at the time of prenatal diagnosis particularly in cases that involve X-linked conditions is of vital importance, which would crucially influence the decision-making regarding abortions. This study will help in prenatal diagnosis of DMD in future, also providing a new perspective that enables the genetic diagnosis of sex reversal in pregnancy. Moreover, genetic counseling/analysis for early diagnosis and pre-symptom interventions are warranted.","10.3389/fgene.2019.01350","","46,XX testicular DSD; Duchenne muscular dystrophy; genetic counseling; integrated analyses; prenatal","Case Reports; Journal Article"
30893644,"PPP2R3C gene variants cause syndromic 46,XY gonadal dysgenesis and impaired spermatogenesis in humans.","Guran T; Yesil G; Turan S; Atay Z; Bozkurtlar E; Aghayev A; Gul S; Tinay I; Aru B; Arslan S; Koroglu MK; Ercan F; Demirel GY; Eren FS; Karademir B; Bereket A","European journal of endocrinology",2019,"Context Most of the knowledge on the factors involved in human sexual development stems from studies of rare cases with disorders of sex development. Here, we have described a novel 46, XY complete gonadal dysgenesis syndrome caused by homozygous variants in PPP2R3C gene. This gene encodes B″gamma regulatory subunit of the protein phosphatase 2A (PP2A), which is a serine/threonine phosphatase involved in the phospho-regulation processes of most mammalian cell types. PPP2R3C gene is most abundantly expressed in testis in humans, while its function was hitherto unknown. Patients and methods Four girls from four unrelated families with 46, XY complete gonadal dysgenesis were studied using exome or Sanger sequencing of PPP2R3C gene. In total, four patients and their heterozygous parents were investigated for clinical, laboratory, immunohistochemical and molecular characteristics. Results We have identified three different homozygous PPP2R3C variants, c.308T>C (p.L103P), c.578T>C (p.L193S) and c.1049T>C (p.F350S), in four girls with 46, XY complete gonadal dysgenesis. Patients also manifested a unique syndrome of extragonadal anomalies, including typical facial gestalt, low birth weight, myopathy, rod and cone dystrophy, anal atresia, omphalocele, sensorineural hearing loss, dry and scaly skin, skeletal abnormalities, renal agenesis and neuromotor delay. We have shown a decreased SOX9-Phospho protein expression in the dysgenetic gonads of the patients with homozygous PPP2R3C variants suggesting impaired SOX9 signaling in the pathogenesis of gonadal dysgenesis. Heterozygous males presented with abnormal sperm morphology and impaired fertility. Conclusion Our findings suggest that PPP2R3C protein is involved in the ontogeny of multiple organs, especially critical for testis development and spermatogenesis. PPPR3C provides insight into pathophysiology, as well as emerging as a potential therapeutic target for male infertility.","10.1530/EJE-19-0067","Adult; Amino Acid Sequence; Base Sequence; Child; Child, Preschool; Congenital Abnormalities; Consanguinity; Female; Gonadal Dysgenesis, 46,XY; Homozygote; Humans; Infant; Male; Middle Aged; Models, Molecular; Mutation; Mutation, Missense; Pedigree; Phenotype; Protein Phosphatase 2; Real-Time Polymerase Chain Reaction; SOX9 Transcription Factor; Spermatogenesis; Syndrome; Testis","","Case Reports; Journal Article"
27177728,"Complications of Cushing's syndrome: state of the art.","Pivonello R; Isidori AM; De Martino MC; Newell-Price J; Biller BM; Colao A","The lancet. Diabetes & endocrinology",2016,"Cushing's syndrome is a serious endocrine disease caused by chronic, autonomous, and excessive secretion of cortisol. The syndrome is associated with increased mortality and impaired quality of life because of the occurrence of comorbidities. These clinical complications include metabolic syndrome, consisting of systemic arterial hypertension, visceral obesity, impairment of glucose metabolism, and dyslipidaemia; musculoskeletal disorders, such as myopathy, osteoporosis, and skeletal fractures; neuropsychiatric disorders, such as impairment of cognitive function, depression, or mania; impairment of reproductive and sexual function; and dermatological manifestations, mainly represented by acne, hirsutism, and alopecia. Hypertension in patients with Cushing's syndrome has a multifactorial pathogenesis and contributes to the increased risk for myocardial infarction, cardiac failure, or stroke, which are the most common causes of death; risks of these outcomes are exacerbated by a prothrombotic diathesis and hypokalaemia. Neuropsychiatric disorders can be responsible for suicide. Immune disorders are common; immunosuppression during active disease causes susceptibility to infections, possibly complicated by sepsis, an important cause of death, whereas immune rebound after disease remission can exacerbate underlying autoimmune diseases. Prompt treatment of cortisol excess and specific treatments of comorbidities are crucial to prevent serious clinical complications and reduce the mortality associated with Cushing's syndrome.","10.1016/S2213-8587(16)00086-3","Cardiovascular Diseases; Cushing Syndrome; Humans; Immune System Diseases; Mental Disorders; Metabolic Syndrome; Musculoskeletal Diseases; Sexual Dysfunction, Physiological","","Journal Article; Review"
25548543,"Erectile Dysfunction and Essential Hypertension: The Same Aging-related Disorder?","Clavijo RI; Miner MM; Rajfer J","Reviews in urology",2014,"An erection is a mechanical event dependent primarily on corporeal vascular dynamics wherein arterial inflow and storage of blood within the corpora is greater than the egress of blood from the corpora. The most common cause of erectile dysfunction (ED) is the inability of the corporal tissue to store the blood within the corporal sinusoids once inflow into the corpora begins. This failure to store is primarily due to a corporal smooth muscle dysfunction and, in most men, is most likely an aging-related occurrence. Because the corporal smooth muscle is embryologically and physiologically indistinguishable from the smooth muscle within our arterial system, the authors hypothesize that the aging-related dysfunction that occurs within the penis also occurs within the arterial system, and that this smooth muscle dysfunction within the arterial media is most likely the cause of what is called essential hypertension. This panvascular smooth muscle myopathy could explain why hypertension is the most common comorbidity associated with ED and appears to indicate that both ED and essential hypertension are the same disorder, albeit in two different organ systems.",NA,"","Endothelium; Erection; Hypertension; Smooth muscle","Journal Article"
24381870,"Management of statin intolerance.","Raju SB; Varghese K; Madhu K","Indian journal of endocrinology and metabolism",2013,"Statins are the revolutionary drugs in the cardiovascular pharmacotherapy. But they also possess several adverse effects like myopathy with elevation of hepatic transaminases (>3 times the upper limit of normal) or creatine kinase (>10 times the upper limit of normal) and some rare side-effects, including peripheral neuropathy, memory loss, sleep disturbances, and erectile dysfunction. Due to these adverse effects, patients abruptly withdrew statins without consulting physicians. This abrupt discontinuation of statins is termed as statin intolerance. Statin-induced myopathy constitutes two third of all side-effects from statins and is the primary reason for statin intolerance. Though statin intolerance has considerably impacted cardiovascular outcomes in the high-risk patients, it has been well effectively managed by prescribing statins either as alternate-day or once weekly dosage regimen, as combination therapy with a non-statin therapy or and by dietary intervention. The present article reviews the causes, clinical implications of statin withdrawal and management of statin intolerance.","10.4103/2230-8210.122602","","Adverse effects of stains; myopathy; rhabdomyolysis; statin intolerance; statins","Journal Article"
