"PMID","Title","Authors","Journal","Year","Abstract","DOI","MeSH","Keywords","PublicationType"
39325119,"Methotrexate: Use in the Post Dobbs v. Jackson Era.","Huddleston EM; Saag KG","Journal of clinical rheumatology : practical reports on rheumatic & musculoskeletal diseases",2024,"Methotrexate is one of the most frequently used medications for the treatment of rheumatic diseases. Although initially developed for use as chemotherapy for both solid and hematologic malignancies, it was used as early as the 1960s with success for rheumatoid arthritis (RA) and psoriatic arthritis, ultimately being approved by the US Food and Drug Administration for the treatment of RA in 1988. Beyond RA and psoriatic arthritis, methotrexate is used in the treatment of systemic lupus erythematosus, idiopathic inflammatory myopathies, and other inflammatory conditions. Methotrexate is cytotoxic to the trophoblast and has been used to treat both ectopic pregnancy and gestational trophoblastic neoplasia, leading to studies in the early 1990s that showed it was effective and safe for early abortion in combination with prostaglandin E1 analog misoprostol. Methotrexate is also a teratogen, causing serious birth defects in 6%-10% of patients taking it while pregnant. Additionally, women are more likely to be affected by both RA at SLE, as compared with males, thus worsening the burden of these adverse effects. Both methotrexate's history of use as an abortifacient and its teratogenic properties make its use more complicated in the current era of abortion policy in the United States following the Dobbs v. Jackson Women's Health Organization ruling. Recently published data suggest that this ruling has affected both provider perspectives and patient experiences as it relates to methotrexate use. In the post-Dobbs era, the role of the rheumatologist as it relates to patients' sexual and reproductive health is likely to expand.","10.1097/RHU.0000000000002130","Female; Humans; Pregnancy; Abortifacient Agents, Nonsteroidal; Abortion, Induced; Antirheumatic Agents; History, 20th Century; Methotrexate; Rheumatic Diseases; United States","","Journal Article; Review"
38021525,"A Rare Case of Penoscrotal Webbing and Extensive Hernias: An Anatomical Report With Genetic Insights.","Olson CM; Frolov A; Tan Y; Martin JR; Campbell M","Cureus",2023,"During a routine anatomical dissection of an 81-year-old male cadaver received through the Gift Body Program of Saint Louis University School of Medicine (SLU SOM), a massive bulging in the abdominal area was observed that was consistent with numerous hernia repairs noted in the donor's self-reported medical history. Gross anatomical dissection of the cadaveric body revealed extensive herniation of portions of the small intestine and peritoneal sac along the costal margin and extending to the left aspect of the abdomen. Additionally, an uncircumcised phallus was buried within the suprapubic fat pad and demonstrated simple, grade III penoscrotal webbing (PSW), creating an impression of micropenis presence. To gain additional insights into the current case, analysis of the coding regions (exomes) of DNA procured from the body for putative genetic variants was performed using next-generation sequencing (NGS) technology. This analysis revealed 110 rare (minor allele frequency (MAF) ≤ 0.01), pathologic/deleterious genetic mutations. The most relevant variants to this case were the ones associated with male sexual development, BMP1 and BMP4; connective tissue development, COL3A1 and COL5A3; cilia morphogenesis and function, DNAH5 and MAPK15; as well as hormonal homeostasis, ESR1. Direct involvement of BMP1 both in male sexual development and hernia genesis makes it a strong candidate for linking the two pathologies, PSW and multiple hernias, observed in the present case. Yet the presence of a group of mutated genes linked to myopathies (ITGA7, NRAP, POLM, SCN5A, XIRP2) and muscular dystrophy (ITGA7) raises a question about the involvement of these muscular pathologies in hernia genesis and unsuccessful hernia repairs associated with the current case.","10.7759/cureus.47375","","anatomical variation; genetic screen; hernias; muscular pathologies; penoscrotal webbing; wound healing","Case Reports; Journal Article"
37221419,"Effect of an 8-Week Tailored Physiotherapy Program on Sexual Health in Women with Scleroderma and Myositis: A Controlled Pilot Study.","Heřmánková B; Špiritović M; Oreská S; Štorkánová H; Mann H; Pavelka K; Šenolt L; Vencovský J; Bečvář R; Tomčík M","Rheumatology and therapy",2023,"INTRODUCTION: Systemic sclerosis (SSc) and idiopathic inflammatory myopathies (IIM) are very rare rheumatic diseases burdened by a high prevalence of sexual dysfunctions. However, no specific treatment has been proposed to date. To our knowledge, this is the first (pilot) study aiming to investigate the effect of an 8-week tailored physiotherapy program on the sexual health of women with SSc and IIM. METHODS: In total, 12 women with SSc and 4 women with IIM were enrolled in the study. Based on the patients' capability to participate in the program, they were divided into an intervention group (IG) (mean ± SD age 46.8 ± 8.6 years) and a control group (CG) (mean ± SD age 46.3 ± 8.5 years). IG underwent the 8-week program (1 h of supervised physiotherapy twice weekly), whereas CG received no physiotherapy. At weeks 0 and 8, all patients filled in questionnaires assessing sexual function (Female Sexual Function Index [FSFI], Brief Index of Sexual Functioning for Women [BISF-W]), sexual quality of life (Sexual Quality of Life-Female [SQoL-F]), functional ability (Health Assessment Questionnaire [HAQ]), quality of life (Medical Outcomes Short Form-36 [SF-36]), and depression (Beck's Depression Inventory-II [BDI-II]). The changes were analyzed with two-way ANOVA and Friedmann's test. RESULTS: Compared to the statistically significant deterioration in CG over weeks 0-8, we found statistically significant improvements in the total scores of FSFI and BISF-W, and some of their domains, functional status, and the physical component of quality of life. CONCLUSION: Our 8-week physiotherapy program not only prevented the natural course of progressive deterioration of functional ability but also led to a significant improvement in sexual function and quality of life in women with SSc and IIM. However, due to the lack of randomization and a relatively small sample size resulting from the strict inclusion criteria, further validation of our results is needed. TRIAL REGISTRATION NUMBER: ISRCTN91200867 (prospectively registered).","10.1007/s40744-023-00559-9","","Female sexual dysfunction; Idiopathic inflammatory myopathies; Pelvic floor exercise; Physiotherapy; Sexual dysfunction intervention; Systemic sclerosis","Journal Article"
36206989,"Beyond Erectile Dysfunction: cGMP-Specific Phosphodiesterase 5 Inhibitors for Other Clinical Disorders.","Samidurai A; Xi L; Das A; Kukreja RC","Annual review of pharmacology and toxicology",2023,"Cyclic guanosine monophosphate (cGMP), an important intracellular second messenger, mediates cellular functional responses in all vital organs. Phosphodiesterase 5 (PDE5) is one of the 11 members of the cyclic nucleotide phosphodiesterase (PDE) family that specifically targets cGMP generated by nitric oxide-driven activation of the soluble guanylyl cyclase. PDE5 inhibitors, including sildenafil and tadalafil, are widely used for the treatment of erectile dysfunction, pulmonary arterial hypertension, and certain urological disorders. Preclinical studies have shown promising effects of PDE5 inhibitors in the treatment of myocardial infarction, cardiac hypertrophy, heart failure, cancer and anticancer-drug-associated cardiotoxicity, diabetes, Duchenne muscular dystrophy, Alzheimer's disease, and other aging-related conditions. Many clinical trials with PDE5 inhibitors have focused on the potential cardiovascular, anticancer, and neurological benefits. In this review, we provide an overview of the current state of knowledge on PDE5 inhibitors and their potential therapeutic indications for various clinical disorders beyond erectile dysfunction.","10.1146/annurev-pharmtox-040122-034745","Male; Humans; Phosphodiesterase 5 Inhibitors; Erectile Dysfunction; Sildenafil Citrate; Cyclic GMP; Neoplasms","aging; cancer; cardioprotection; endothelial dysfunction; metabolic disorder; phosphodiesterase 5","Journal Article; Review"
34251644,"Role of L-Arginine in Nitric Oxide Synthesis and Health in Humans.","Wu G; Meininger CJ; McNeal CJ; Bazer FW; Rhoads JM","Advances in experimental medicine and biology",2021,"As a functional amino acid (AA), L-arginine (Arg) serves not only as a building block of protein but also as an essential substrate for the synthesis of nitric oxide (NO), creatine, polyamines, homoarginine, and agmatine in mammals (including humans). NO (a major vasodilator) increases blood flow to tissues. Arg and its metabolites play important roles in metabolism and physiology. Arg is required to maintain the urea cycle in the active state to detoxify ammonia. This AA also activates cellular mechanistic target of rapamycin (MTOR) and focal adhesion kinase cell signaling pathways in mammals, thereby stimulating protein synthesis, inhibiting autophagy and proteolysis, enhancing cell migration and wound healing, promoting spermatogenesis and sperm quality, improving conceptus survival and growth, and augmenting the production of milk proteins. Although Arg is formed de novo from glutamine/glutamate and proline in humans, these synthetic pathways do not provide sufficient Arg in infants or adults. Thus, humans and other animals do have dietary needs of Arg for optimal growth, development, lactation, and fertility. Much evidence shows that oral administration of Arg within the physiological range can confer health benefits to both men and women by increasing NO synthesis and thus blood flow in tissues (e.g., skeletal muscle and the corpora cavernosa of the penis). NO is a vasodilator, a neurotransmitter, a regulator of nutrient metabolism, and a killer of bacteria, fungi, parasites, and viruses [including coronaviruses, such as SARS-CoV and SARS-CoV-2 (the virus causing COVID-19). Thus, Arg supplementation can enhance immunity, anti-infectious, and anti-oxidative responses, fertility, wound healing, ammonia detoxification, nutrient digestion and absorption, lean tissue mass, and brown adipose tissue development; ameliorate metabolic syndromes (including dyslipidemia, obesity, diabetes, and hypertension); and treat individuals with erectile dysfunction, sickle cell disease, muscular dystrophy, and pre-eclampsia.","10.1007/978-3-030-74180-8_10","Animals; Arginine; COVID-19; Female; Humans; Male; Nitric Oxide; Pregnancy; Protein Biosynthesis; SARS-CoV-2","Arginine; Blood flow; Disease; Health; Metabolism; Nitric oxide; Skeletal muscle","Journal Article"
29256324,"The effect of phosphodiesterase-5 inhibitors on cerebral blood flow in humans: A systematic review.","Pauls MM; Moynihan B; Barrick TR; Kruuse C; Madigan JB; Hainsworth AH; Isaacs JD","Journal of cerebral blood flow and metabolism : official journal of the International Society of Cerebral Blood Flow and Metabolism",2018,"Agents that augment cerebral blood flow (CBF) could be potential treatments for vascular cognitive impairment. Phosphodiesterase-5 inhibitors are vasodilating drugs established in the treatment of erectile dysfunction (ED) and pulmonary hypertension. We reviewed published data on the effects of phosphodiesterase-5 inhibitors on CBF in adult humans. A systematic review according to PRISMA guidelines was performed. Embase, Medline and Cochrane Library Trials databases were searched. Sixteen studies with 353 participants in total were retrieved. Studies included healthy volunteers and patients with migraine, ED, type 2 diabetes, stroke, pulmonary hypertension, Becker muscular dystrophy and subarachnoid haemorrhage. Most studies used middle cerebral artery flow velocity to estimate CBF. Few studies employed direct measurements of tissue perfusion. Resting CBF velocity was unaffected by phosphodiesterase-5 inhibitors, but cerebrovascular regulation was improved in ED, pulmonary hypertension, diabetes, Becker's and a group of healthy volunteers. This evidence suggests that phosphodiesterase-5 inhibitors improve responsiveness of the cerebral vasculature, particularly in disease states associated with an impaired endothelial dilatory response. This supports the potential therapeutic use of phosphodiesterase-5 inhibitors in vascular cognitive impairment where CBF is reduced. Further studies with better resolution of deep CBF are warranted. The review is registered on the PROSPERO database (registration number CRD42016029668).","10.1177/0271678X17747177","Adult; Cerebrovascular Circulation; Dementia, Vascular; Humans; Phosphodiesterase 5 Inhibitors","Cerebral blood flow; dementia; phosphodiesterase-5 inhibitors; small vessel disease; vascular cognitive impairment","Journal Article; Research Support, Non-U.S. Gov't; Systematic Review"
25356310,"The relationship between sexual function and quality of sleep in caregiving mothers of sons with duchenne muscular dystrophy.","Nozoe KT; Hachul H; Hirotsu C; Polesel DN; Moreira GA; Tufik S; Andersen ML","Sexual medicine",2014,"INTRODUCTION: The task of the caregiver, especially a caregiving mother of a son with a chronic and fatal disease, may interfere with their quality of sleep, sexuality, and some hormone levels. AIM: The aim of this study was to evaluate the sexual function and the quality of sleep of caregiving mothers of sons with Duchenne muscular dystrophy (DMD). METHODS: We evaluated 20 caregiving mothers of sons with DMD and 20 caregiving mothers of sons without any neuromuscular or chronic disease. All of them voluntarily responded to the evaluating questionnaires about their sexuality and their quality of sleep, and gave blood samples to evaluate their hormonal levels. MAIN OUTCOME MEASURES: All mothers were evaluated using the questionnaire of Female Sexual Function Index (FSFI) and the Pittsburgh questionnaire (PSQI). The blood samples were tested to determine serum levels of testosterone, estradiol, follicle-stimulating hormone, luteinizing hormone, progesterone, adrenocorticotropic hormone, and cortisol. RESULTS: Caregiving mothers of sons with DMD had significantly lower scores in the FSFI questionnaire, suggesting a higher risk for sexual dysfunction. The PSQI demonstrated that these caregiving mothers present increased sleep latency, reduced sleep efficiency, daytime dysfunction, and poor sleep quality. Blood tests showed a rise in cortisol levels, which correlated with the compromised sexuality and quality of sleep. CONCLUSIONS: This study indicates that caregiving mothers of sons with DMD show major risk for sexual dysfunction and a reduction in their quality of sleep mediated in part by the hormonal changes related to stress. Nozoe KT, Hachul H, Hirotsu C, Polesel DN, Moreira GA, Tufik S, and Andersen ML. The relationship between sexual function and quality of sleep in caregiving mothers of sons with Duchenne muscular dystrophy. Sex Med 2014;2:133-140.","10.1002/sm2.29","","Caregivers; Duchenne Muscular Dystrophy; Sexuality; Sleep; Testosterone; Women","Journal Article"
25302549,"Extending the translational potential of targeting NO/cGMP-regulated pathways in the CVS.","Papapetropoulos A; Hobbs AJ; Topouzis S","British journal of pharmacology",2015,"The discovery of NO as both an endogenous signalling molecule and as a mediator of the cardiovascular effects of organic nitrates was acknowledged in 1998 by the Nobel Prize in Physiology/Medicine. The characterization of its downstream signalling, mediated through stimulation of soluble GC (sGC) and cGMP generation, initiated significant translational interest, but until recently this was almost exclusively embodied by the use of PDE5 inhibitors in erectile dysfunction. Since then, research progress in two areas has contributed to an impressive expansion of the therapeutic targeting of the NO-sGC-cGMP axis: first, an increased understanding of the molecular events operating within this complex pathway and second, a better insight into its dys-regulation and uncoupling in human disease. Already-approved PDE5 inhibitors and novel, first-in-class molecules, which up-regulate the activity of sGC independently of NO and/or of the enzyme's haem prosthetic group, are undergoing clinical evaluation to treat pulmonary hypertension and myocardial failure. These molecules, as well as combinations or second-generation compounds, are also being assessed in additional experimental disease models and in patients in a wide spectrum of novel indications, such as endotoxic shock, diabetic cardiomyopathy and Becker's muscular dystrophy. There is well-founded optimism that the modulation of the NO-sGC-cGMP pathway will sustain the development of an increasing number of successful clinical candidates for years to come.","10.1111/bph.12980","Animals; Cardiovascular Diseases; Cardiovascular System; Cyclic GMP; Drug Design; Guanylate Cyclase; Humans; Molecular Targeted Therapy; Nitric Oxide; Receptors, Cytoplasmic and Nuclear; Signal Transduction; Soluble Guanylyl Cyclase","","Journal Article; Research Support, Non-U.S. Gov't; Review"
24607254,"Dog as a model in studies on human hereditary diseases and their gene therapy.","Switonski M","Reproductive biology",2014,"During the last 15 years spectacular progress has been achieved in knowledge on the dog genome organization and the molecular background of hereditary diseases in this species. A majority of canine genetic diseases have their counterparts in humans and thus dogs are considered as a very important large animal model in human biomedicine. Among canine monogenic diseases with known causative gene mutations there are two large groups classified as retinal dystrophies and lysosomal storage diseases. Specific types of these diseases are usually diagnosed in a single or several breeds. A well known disorder, restricted to a single breed, is congenital stationary night blindness described in Briards. This disease is a counterpart of Leber amaurosis in children. On the other hand, one of the most common monogenic human diseases (Duchenne muscular dystrophy), has its canine counterparts in several breeds (e.g., the Golden retriever, Beagle and German short-haired pointer). For some of the canine diseases gene therapy strategy was successfully applied, e.g., for congenital stationary night blindness, rod-cone dystrophy and muccopolysaccharydoses type I, IIIB and VII. Since phenotypic variability between the breeds is exceptionally high, the dog is an interesting model to study the molecular background of congenital malformations (e.g., dwarfism and osteoporosis imperfecta). Also disorders of sexual development (DSD), especially testicular or ovotesticular DSD (78,XX; SRY-negative), which is widely distributed across dozens of breeds, are of particular interest. Studies on the genetic background of canine cancers, a major health problem in this species, are also quite advanced. On the other hand, genetic studies on canine counterparts of major human complex diseases (e.g., obesity, the metabolic syndrome and diabetes mellitus) are still in their infancy.","10.1016/j.repbio.2013.12.007","Animals; Disease Models, Animal; Dogs; Genetic Diseases, Inborn; Genetic Therapy; Genome","Congenital malformation; Disorder of sexual development; Gene therapy; Lysosomal storage disease; Obesity; Retinal dystrophy","Journal Article; Research Support, Non-U.S. Gov't; Review"
23775467,"Daily dosing of PDE5 inhibitors: where does it fit in?","Lee KC; Brock GB","Current urology reports",2013,"To provide a critical contemporary review of daily PDE5-inhibitor (PDE5-I) use in urological and nonurological conditions. PDE5-Is can be taken up to once a day. However, at present only tadalafil is approved for use in both erectile dysfunction (ED) and benign prostate hyperplasia (BPH) with lower urinary tract symptoms (LUTS). Evolving research in penile rehabilitation, Peyronie's disease, male infertility, pulmonary arterial hypertension, muscular dystrophy and Raynaud's phenomenon shows these therapeutic areas may also benefit from PDE5i therapy. This review examines the role of chronic PDE5 inhibition in ED, BPH-LUTS and other therapeutic targets which may shape our clinical practice in the years to come.","10.1007/s11934-013-0342-9","Carbolines; Erectile Dysfunction; Humans; Lower Urinary Tract Symptoms; Male; Phosphodiesterase 5 Inhibitors; Prostatic Hyperplasia; Tadalafil","","Journal Article; Review"
